,title,min salary,max salary,currency,emploer,link
99,Бизнес-аналитик (1С),-,-,USD,ООО СТА Карго,https://spb.hh.ru/vacancy/48433185?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
100,Старший/Ведущий аналитик,2822,-,USD,ООО Крит,https://spb.hh.ru/vacancy/44747352?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
101,Ведущий аналитик,-,-,USD,Мегалит,https://spb.hh.ru/vacancy/49081898?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
102,Аналитик,2117,-,USD,Lenvendo,https://spb.hh.ru/vacancy/48058870?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
103,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044394?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
104,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044368?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
105,Ведущий аналитик Отдела операционного маркетинга,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48345410?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
106,Ведущий аналитик,-,-,USD,"«Почта России», Офис",https://spb.hh.ru/vacancy/48497676?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
107,Аналитик,-,1693,USD,ООО КримТех,https://spb.hh.ru/vacancy/48943621?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
108,Ведущий аналитик данных,1411,1411,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47909324?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
